orderid,customer,product,shipper,method
990070,Kathy Nguyen,until,Perez PLC,card
990077,Marie Williams,lead,Turner-Bush,card
990050,Margaret Martinez,but,Perez PLC,card
990070,Kathy Nguyen,dream,Perez PLC,card
990074,Stephanie Carr,but,Gates and Sons,card
990074,Stephanie Carr,recently,Gates and Sons,card
990036,Denise Mcconnell,take,"Garrison, James and Cox",card
990050,Margaret Martinez,different,Perez PLC,card
990061,Justin Anderson,partner,Chavez LLC,card
990064,Steven Brewer,better,Atkinson PLC,card
990070,Kathy Nguyen,still,Perez PLC,card
990070,Kathy Nguyen,herself,Perez PLC,card
990074,Stephanie Carr,money,Gates and Sons,card
990074,Stephanie Carr,answer,Gates and Sons,card
990036,Denise Mcconnell,situation,"Garrison, James and Cox",card
990036,Denise Mcconnell,industry,"Garrison, James and Cox",card
990043,Lisa Trujillo,section,Murray and Sons,card
990050,Margaret Martinez,line,Perez PLC,card
990050,Margaret Martinez,gun,Perez PLC,card
990077,Marie Williams,year,Turner-Bush,card
